"NETWORK","IDENTIFIER","HOSTNAME","LOCATION","LAT","LON"
"162.43.193.160/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"162.43.193.192/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"162.43.193.224/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"143.131.8.0/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.32/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.64/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.96/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.128/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.160/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.192/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.8.224/27","MIA1","customer.mia1.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.0/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.32/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.64/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.96/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.128/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.160/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.192/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"143.131.9.224/27","MIA2","customer.mia2.mc.starlinkisp.net.","Miami - United States","25.7743","-80.1937"
"205.174.156.0/27","IAD1","customer.iad1.mc.starlinkisp.net.","New York - United States","40.7143","-74.006"
